param_name,position_fraction,year,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown
B_v703_more_trades,0.5,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,98903.96,-0.0109604,-0.02400461
B_v703_more_trades,0.5,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,101038.67,0.01038674,-0.01208163
B_v703_more_trades,0.5,2024,13,1,12,0.538462,0.00199127,0.002683,0.02588647,1.710108,0.0099638,-0.00609605,101292.35,0.01292348,-0.00888184
B_v703_more_trades,0.5,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,99637.16,-0.00362844,-0.01503218
B_v703_more_trades,0.5,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100271.83,0.00271828,-0.00602555
B_v703_more_trades,0.7,2018,26,2,24,0.423077,0.00070802,-0.00603254,0.01840852,1.202648,0.00996765,-0.006094,101256.45,0.01256447,-0.0210923
B_v703_more_trades,0.7,2019,27,2,25,0.555556,0.00212839,0.00342728,0.0574666,1.900988,0.00996481,-0.00609924,104067.27,0.04067275,-0.01767725
B_v703_more_trades,0.7,2020,21,4,17,0.380952,0.00022826,-0.00603405,0.00479353,1.064167,0.00996623,-0.00609726,100305.8,0.00305805,-0.01839825
B_v703_more_trades,0.7,2021,18,3,15,0.611111,0.00355365,0.0072065,0.06396567,3.048664,0.0099668,-0.00608719,104551.82,0.04551824,-0.00943157
B_v703_more_trades,0.7,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,98457.07,-0.01542928,-0.03346434
B_v703_more_trades,0.7,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,101450.2,0.01450195,-0.0168835
B_v703_more_trades,0.7,2024,13,1,12,0.538462,0.00199127,0.002683,0.02588647,1.710108,0.0099638,-0.00609605,101808.12,0.01808121,-0.01243247
B_v703_more_trades,0.7,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,99485.47,-0.00514528,-0.02099419
B_v703_more_trades,0.7,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100377.67,0.00377667,-0.00843068
B_v703_more_trades,1.0,2018,26,2,24,0.423077,0.00070802,-0.00603254,0.01840852,1.202648,0.00996765,-0.006094,101774.91,0.01774907,-0.03002218
B_v703_more_trades,1.0,2019,27,2,25,0.555556,0.00212839,0.00342728,0.0574666,1.900988,0.00996481,-0.00609924,105837.45,0.05837451,-0.02523129
B_v703_more_trades,1.0,2020,21,4,17,0.380952,0.00022826,-0.00603405,0.00479353,1.064167,0.00996623,-0.00609726,100418.63,0.00418626,-0.02622601
B_v703_more_trades,1.0,2021,18,3,15,0.611111,0.00355365,0.0072065,0.06396567,3.048664,0.0099668,-0.00608719,106548.4,0.06548399,-0.01345762
B_v703_more_trades,1.0,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,97777.95,-0.02222054,-0.04750351
B_v703_more_trades,1.0,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,102063.14,0.02063142,-0.02405346
B_v703_more_trades,1.0,2024,13,1,12,0.538462,0.00199127,0.002683,0.02588647,1.710108,0.0099638,-0.00609605,102580.44,0.02580435,-0.01775595
B_v703_more_trades,1.0,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,99251.0,-0.00748995,-0.02988304
B_v703_more_trades,1.0,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100533.32,0.00533318,-0.0120329
B_v703_more_trades,1.5,2018,26,2,24,0.423077,0.00070802,-0.00603254,0.01840852,1.202648,0.00996765,-0.006094,102611.67,0.02611666,-0.0447604
B_v703_more_trades,1.5,2019,27,2,25,0.555556,0.00212839,0.00342728,0.0574666,1.900988,0.00996481,-0.00609924,108823.28,0.08823276,-0.03778994
B_v703_more_trades,1.5,2020,21,4,17,0.380952,0.00022826,-0.00603405,0.00479353,1.064167,0.00996623,-0.00609726,100582.3,0.00582304,-0.03919543
