run_id,breakout_days,ma_days,atr_days,atr_mult,max_hold_days,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown,score
190,60,200,14,3.0,40,78,56,22,0.346154,-0.00121283,-0.00682091,-0.0946007,0.863678,0.06043654,-0.0396092,97060.39,-0.02939612,-0.07442857,-0.0837559
27,20,100,14,2.5,60,131,93,38,0.312977,-0.00066951,-0.00429207,-0.08770616,0.895443,0.07829829,-0.02982283,97236.34,-0.02763663,-0.08579572,-0.08447016
44,20,150,14,2.5,90,123,88,35,0.333333,-0.00074545,-0.0039756,-0.0916906,0.88181,0.06201174,-0.02982283,97148.64,-0.02851357,-0.08447425,-0.08516173
185,60,200,14,2.5,20,92,68,24,0.336957,-0.00102196,-0.00553276,-0.09401999,0.848329,0.05224107,-0.02982283,97118.07,-0.02881934,-0.08190543,-0.08613825
14,20,50,14,3.0,40,144,94,50,0.305556,-0.00090292,-0.00685519,-0.13002031,0.886189,0.06043654,-0.0396092,95939.54,-0.04060464,-0.06388965,-0.08616178
127,40,200,14,3.0,60,84,62,22,0.321429,-0.00101749,-0.0068002,-0.08546913,0.88478,0.07829829,-0.0396092,97297.3,-0.02702701,-0.08503246,-0.0861864
30,20,100,14,3.0,40,125,87,38,0.296,-0.00093716,-0.00547259,-0.11714473,0.881846,0.06043654,-0.0396092,96335.1,-0.03664905,-0.07520004,-0.08926633
46,20,150,14,3.0,40,116,81,35,0.310345,-0.00088095,-0.00496412,-0.10219067,0.888509,0.06043654,-0.0396092,96788.17,-0.03211829,-0.08497683,-0.09015202
186,60,200,14,2.5,40,85,61,24,0.317647,-0.0013481,-0.00594765,-0.11458892,0.810642,0.05249327,-0.02982283,96524.66,-0.03475336,-0.07446119,-0.09021491
108,40,150,14,2.5,90,94,68,26,0.297872,-0.00121777,-0.00579669,-0.11447065,0.828849,0.06201174,-0.02982283,96505.61,-0.03494386,-0.0779962,-0.09148377
41,20,150,14,2.5,20,136,98,38,0.352941,-0.00087922,-0.00420091,-0.11957414,0.863193,0.05224107,-0.02982283,96336.92,-0.03663084,-0.08140128,-0.09250538
128,40,200,14,3.0,90,83,61,22,0.325301,-0.0012574,-0.00668458,-0.10436444,0.856472,0.06043654,-0.0396092,96766.43,-0.03233567,-0.08503246,-0.09341436
28,20,100,14,2.5,90,131,93,38,0.312977,-0.00086909,-0.00429207,-0.11385051,0.864275,0.06201174,-0.02982283,96491.7,-0.03508298,-0.08579572,-0.09351311
144,60,50,14,3.0,90,80,59,21,0.35,-0.00132512,-0.00682091,-0.1060098,0.857545,0.06043654,-0.0396092,96714.1,-0.03285904,-0.08381571,-0.09374945
91,40,100,14,2.5,60,101,71,30,0.29703,-0.00111038,-0.00564573,-0.11214822,0.846075,0.07829829,-0.02982283,96549.8,-0.03450197,-0.08646744,-0.09526546
61,20,200,14,3.0,20,129,94,35,0.364341,-0.00080807,-0.0045451,-0.10424073,0.892153,0.07871858,-0.04160947,96731.23,-0.03268768,-0.09478356,-0.09602236
74,40,50,14,2.5,40,105,73,32,0.32381,-0.00122064,-0.00564573,-0.12816771,0.831179,0.05249327,-0.02982283,96102.56,-0.03897443,-0.07883745,-0.09604206
155,60,100,14,2.5,60,87,64,23,0.310345,-0.00145601,-0.00641523,-0.12667262,0.807515,0.07829829,-0.02982283,96152.75,-0.03847246,-0.07778545,-0.09679179
25,20,100,14,2.5,20,145,104,41,0.351724,-0.00088866,-0.00427395,-0.12885613,0.86143,0.05224107,-0.02982283,96060.73,-0.03939266,-0.08391563,-0.09685135
