run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,final_equity,total_equity_return,max_drawdown,score,wf_id
524,0.005,0.008,0.008,7,35,55,45,0,45,0.511111,0.00029432,0.00163466,0.01324442,1.083868,100386.47,0.00386468,-0.01488874,-0.00510311,4
481,0.005,0.008,0.006,5,40,50,132,15,117,0.462121,0.00017995,-0.00214139,0.0237535,1.059445,100690.06,0.00690064,-0.01744431,-0.0052553,4
222,0.003,0.01,0.004,4,40,60,22,15,7,0.363636,0.00015929,-0.00405288,0.0035044,1.061584,100101.75,0.0010175,-0.00999718,-0.00538734,4
546,0.005,0.01,0.004,4,40,60,22,15,7,0.363636,0.00015929,-0.00405288,0.0035044,1.061584,100101.75,0.0010175,-0.00999718,-0.00538734,4
847,0.007,0.008,0.008,7,35,50,82,0,82,0.536585,9.128e-05,0.0023227,0.00748509,1.024836,100203.25,0.00203246,-0.01041707,-0.00538838,4
178,0.003,0.008,0.006,9,45,50,171,45,126,0.438596,0.0001618,-0.00603386,0.02766749,1.049705,100797.39,0.00797395,-0.01879245,-0.00544203,4
587,0.005,0.01,0.006,5,35,55,50,0,50,0.42,0.00013478,-0.00198626,0.00673878,1.044384,100191.81,0.00191814,-0.01089132,-0.00544717,4
569,0.005,0.01,0.004,9,35,55,51,0,51,0.333333,0.00020966,-0.00403545,0.01069251,1.077358,100312.36,0.00312357,-0.01337693,-0.0054814,4
1049,0.01,0.006,0.008,4,40,55,35,12,23,0.571429,0.00013122,0.00243141,0.00459277,1.047892,100132.06,0.00132065,-0.01025223,-0.00556892,4
632,0.005,0.01,0.008,7,35,55,44,0,44,0.454545,0.00023597,-0.00083906,0.01038274,1.064616,100299.0,0.00298999,-0.01370906,-0.00561755,4
950,0.007,0.01,0.008,5,40,55,51,14,37,0.490196,0.00031725,-0.00037989,0.01617969,1.094795,100473.15,0.00473152,-0.01691883,-0.00563106,4
344,0.005,0.006,0.004,7,35,55,53,0,53,0.415094,8.954e-05,-0.00403432,0.00474571,1.037666,100136.67,0.00136666,-0.00992114,-0.00567484,4
353,0.005,0.006,0.004,9,35,55,53,0,53,0.415094,8.954e-05,-0.00403432,0.00474571,1.037666,100136.67,0.00136666,-0.00992114,-0.00567484,4
806,0.007,0.008,0.006,5,40,55,55,14,41,0.436364,0.00019186,-0.00221864,0.01055245,1.062526,100306.35,0.00306349,-0.01336939,-0.0057134,4
734,0.007,0.006,0.008,5,40,55,54,15,39,0.555556,0.00026026,0.0052581,0.01405424,1.090942,100412.67,0.00412671,-0.0156413,-0.0057837,4
50,0.003,0.006,0.006,5,40,55,73,16,57,0.479452,0.00013859,-0.00080685,0.01011682,1.052305,100293.51,0.00293514,-0.01271057,-0.00584745,4
878,0.007,0.01,0.004,5,40,55,57,14,43,0.350877,0.00024543,-0.00403563,0.01398957,1.093021,100410.86,0.00410862,-0.0155749,-0.005897,4
137,0.003,0.008,0.004,9,35,55,57,0,57,0.350877,0.00015093,-0.00403523,0.00860312,1.057229,100249.98,0.00249981,-0.01239899,-0.00591007,4
416,0.005,0.006,0.008,7,35,55,46,0,46,0.565217,0.00011326,0.00590047,0.0052101,1.036746,100147.53,0.00147529,-0.01065029,-0.00591231,4
170,0.003,0.008,0.006,7,45,55,99,45,54,0.464646,0.00020803,-0.00603266,0.02059464,1.066851,100599.84,0.00599836,-0.01749868,-0.00592032,4
486,0.005,0.008,0.006,5,45,60,47,40,7,0.468085,8.314e-05,-0.00139088,0.00390756,1.028446,100108.87,0.00108871,-0.00981675,-0.0059333,4
866,0.007,0.01,0.004,4,35,55,43,0,43,0.348837,0.00013896,-0.00403537,0.00597541,1.052511,100172.5,0.00172498,-0.01131337,-0.00593609,4
145,0.003,0.008,0.006,4,35,50,132,0,132,0.469697,0.00018528,-0.001635,0.02445758,1.063388,100712.37,0.00712375,-0.0186578,-0.00594964,4
1207,0.01,0.01,0.004,7,35,50,59,0,59,0.305085,7.792e-05,-0.00403784,0.00459721,1.02756,100127.37,0.00127369,-0.01002045,-0.00596348,4
875,0.007,0.01,0.004,5,35,55,43,0,43,0.348837,0.000154,-0.00403537,0.00662218,1.058194,100191.7,0.00191704,-0.01187004,-0.00603895,4
