pair,side,signal_date,entry_date,exit_date,exit_year,exit_time,entry_price,exit_price,initial_stop,final_stop,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_atr,signal_prev_high,signal_prev_low,breakout_days,ma_days,atr_days,atr_mult,max_hold_days
GBPUSD=X,SHORT,2021-11-11,2021-11-12,2021-11-18,2021,1637193600,1.3367197513580322,1.3502204656600951,1.3513657467705862,1.3502204656600951,ATR_STOP,5,6,-0.010099883904870061,8.977199587130117e-05,-0.010189655900741362,False,1.3412736654281616,1.3848905903100968,0.012204996177128382,1.3913236856460571,1.3417415618896484,60,200,14,1.2,20
USDJPY=X,LONG,2021-11-17,2021-11-18,2021-11-26,2021,1637884800,114.20999908447266,114.54514334542411,113.3328879220145,114.54514334542411,ATR_STOP,7,8,0.0029344563841872616,5.253480472898214e-05,0.0028819215794582795,True,114.90399932861328,109.9906196975708,0.7309259687151227,114.68499755859375,109.11399841308594,60,200,14,1.2,20
GBPUSD=X,SHORT,2022-03-14,2022-03-15,2022-03-17,2022,1647475200,1.3010838031768799,1.3155524662562779,1.3181612185069493,1.3155524662562779,ATR_STOP,3,2,-0.011120469753039415,9.223079997383246e-05,-0.011212700553013247,False,1.3050298690795898,1.3627082741260528,0.014231179441724504,1.374948501586914,1.3052444458007812,60,200,14,1.2,20
USDJPY=X,LONG,2022-03-14,2022-03-15,2022-03-29,2022,1648512000,118.21800231933594,123.64225725446428,117.16337432861329,123.64225725446428,ATR_STOP,11,14,0.04588349345031307,5.0753691335373124e-05,0.0458327397589777,True,117.52899932861328,112.58558990478515,0.8788566589355469,117.16400146484375,113.33100128173828,60,200,14,1.2,20
USDJPY=X,LONG,2022-04-19,2022-04-20,2022-04-20,2022,1650412800,129.33299255371094,127.8773923601423,127.8773923601423,127.8773923601423,ATR_STOP,1,0,-0.01125467032678567,4.639187481499161e-05,-0.01130106220160066,False,127.0979995727539,114.17393497467042,1.2130001613071986,126.79000091552734,113.67500305175781,60,200,14,1.2,20
USDJPY=X,LONG,2022-04-20,2022-04-21,2022-04-25,2022,1650844800,128.01300048828125,127.53706447056362,126.51951511928013,127.53706447056362,ATR_STOP,3,4,-0.003717872527807813,4.687023956249866e-05,-0.003764742767370312,False,129.33299255371094,114.26762493133545,1.2445711408342635,128.86099243164062,113.78800201416016,60,200,14,1.2,20
GBPUSD=X,SHORT,2022-04-25,2022-04-26,2022-04-29,2022,1651190400,1.2737231254577637,1.2577281883784703,1.2865306990487235,1.2577281883784703,ATR_STOP,4,3,0.012557624777005531,9.421199756962343e-05,0.012463412779435908,True,1.2830876111984253,1.3501830643415451,0.010672977992466517,1.3643310070037842,1.2840760946273804,60,200,14,1.2,20
GBPUSD=X,SHORT,2022-05-12,2022-05-13,2022-05-17,2022,1652745600,1.2204350233078003,1.2337711129869733,1.241626068523952,1.2337711129869733,ATR_STOP,3,4,-0.01092732462153338,9.832559514291762e-05,-0.011025650216676298,False,1.2234212160110474,1.3413651210069657,0.01765920434679304,1.3640704154968262,1.2262115478515625,60,200,14,1.2,20
USDJPY=X,LONG,2022-06-07,2022-06-08,2022-06-16,2022,1655337600,132.8470001220703,133.49854496547155,131.14017333984376,133.49854496547155,ATR_STOP,7,8,0.004904475395022462,4.5164738341751985e-05,0.00485931065668071,True,132.17599487304688,117.51841499328613,1.4223556518554688,131.67599487304688,117.74500274658203,60,200,14,1.2,20
GBPUSD=X,SHORT,2022-08-29,2022-08-30,2022-09-09,2022,1662681600,1.1721267700195312,1.1565674883978707,1.1900627374649049,1.1565674883978707,ATR_STOP,9,10,0.013274401728237357,0.00010237800472554725,0.013172023723511811,True,1.1694538593292236,1.2834232115745545,0.01494663953781128,1.2594457864761353,1.172003149986267,60,200,14,1.2,20
