param_name,position_fraction,date,pair,side,net_return,pnl,equity,peak,drawdown
A_v703_stable,0.5,2021-12-27,USDJPY=X,LONG,0.009947220267559025,507.4454737523307,102535.03913371541,102535.03913371541,0.0
A_v703_stable,0.5,2021-12-29,EURUSD=X,SHORT,0.0017863847480950631,91.58351502689983,102626.62264874231,102626.62264874231,0.0
A_v703_stable,0.5,2022-03-29,EURUSD=X,SHORT,-0.006036423599027255,-309.74888342266655,102316.87376531964,102626.62264874231,-0.0030182117995136704
A_v703_stable,0.5,2022-05-12,EURJPY=X,LONG,-0.0060728544397507835,-310.6777405535709,102006.19602476608,102626.62264874231,-0.006045474438925669
A_v703_stable,0.5,2022-08-03,EURUSD=X,SHORT,0.009961018800281139,508.042818173929,102514.23884294,102626.62264874231,-0.0010950745810563989
A_v703_stable,0.5,2022-10-04,EURJPY=X,LONG,0.009929618599522225,508.9636463653604,103023.20248930536,103023.20248930536,0.0
A_v703_stable,0.5,2023-05-24,EURJPY=X,LONG,-0.006066706689051527,-312.50577583468936,102710.69671347066,103023.20248930536,-0.003033353344525813
A_v703_stable,0.5,2023-07-21,EURJPY=X,LONG,0.009935939730797524,510.26364612663394,103220.9603595973,103220.9603595973,0.0
A_v703_stable,0.5,2024-09-26,USDJPY=X,LONG,0.009958228324123077,513.9489455480636,103734.90930514537,103734.90930514537,0.0
A_v703_stable,0.5,2025-06-06,EURJPY=X,LONG,0.009938702157359404,515.4951834522652,104250.40448859763,104250.40448859763,0.0
A_v703_stable,0.5,2025-07-14,GBPUSD=X,SHORT,0.00991174599389386,516.651764525836,104767.05625312348,104767.05625312348,0.0
A_v703_stable,0.5,2025-09-02,GBPUSD=X,SHORT,0.00991117564093337,519.1823479541267,105286.2386010776,105286.2386010776,0.0
A_v703_stable,0.5,2025-12-03,GBPUSD=X,SHORT,-0.006090600000594052,-320.6281824431344,104965.61041863446,105286.2386010776,-0.003045300000297013
A_v703_stable,0.5,2025-12-16,USDJPY=X,LONG,-0.006038590915742254,-316.92219076965324,104648.68822786481,105286.2386010776,-0.006055400797709387
A_v703_stable,0.7,2018-06-29,EURJPY=X,LONG,0.009921535394857031,694.5074776399922,100694.50747763999,100694.50747763999,0.0
A_v703_stable,0.7,2018-08-06,EURJPY=X,LONG,-0.00607728333784408,-428.3643367543943,100266.14314088559,100694.50747763999,-0.00425409833649093
A_v703_stable,0.7,2018-09-07,GBPUSD=X,SHORT,-0.0060929220012450195,-427.6396526661589,99838.50348821943,100694.50747763999,-0.008500999814817445
A_v703_stable,0.7,2019-04-04,EURJPY=X,LONG,0.006930159235076898,484.3277088755987,100322.83119709503,100694.50747763999,-0.0036911276479254518
A_v703_stable,0.7,2019-04-12,EURJPY=X,LONG,0.00992009652402322,696.6485183269295,101019.47971542196,101019.47971542196,0.0
A_v703_stable,0.7,2020-04-13,USDJPY=X,LONG,-0.00605527355677688,-428.1904089681071,100591.28930645385,101019.47971542196,-0.004238691489743762
A_v703_stable,0.7,2020-04-15,USDJPY=X,LONG,-0.006055745501236171,-426.4086733767728,100164.88063307707,101019.47971542196,-0.00845974543476502
A_v703_stable,0.7,2020-04-17,EURUSD=X,SHORT,0.009963389998421281,698.5872389248632,100863.46787200194,101019.47971542196,-0.001544373856007808
A_v703_stable,0.7,2020-07-06,EURJPY=X,LONG,0.009916958004022024,700.1811425186675,101563.6490145206,101563.6490145206,0.0
A_v703_stable,0.7,2020-12-16,USDJPY=X,LONG,-0.001887760216671753,-134.20947124873769,101429.43954327187,101563.6490145206,-0.0013214321516701322
