wf_id,date,pair,side,net_return,pnl,equity,peak,drawdown
2,2022-10-25,USDJPY=X,LONG,-0.001315911154829174,-40.81780398977759,103354.72385798104,103452.31461942362,-0.0009433405313510335
3,2023-03-10,GBPUSD=X,SHORT,-0.011892195820725706,-368.73438453484243,102985.9894734462,103452.31461942362,-0.0045076337604713634
3,2023-06-01,USDJPY=X,LONG,0.005119790341035117,158.1800022504282,103144.16947569663,103452.31461942362,-0.0029786201000970847
3,2023-07-06,USDJPY=X,LONG,0.012410465940762224,384.0201606799019,103528.18963637654,103528.18963637654,0.0
3,2023-08-23,USDJPY=X,LONG,-0.005210220996909093,-161.82142422463062,103366.36821215191,103528.18963637654,-0.0015630662990727684
3,2023-09-29,GBPUSD=X,SHORT,0.014047157812329522,435.60110602903785,103801.96931818094,103801.96931818094,0.0
3,2023-09-29,USDJPY=X,LONG,0.006572636656607968,204.6757885706315,104006.64510675157,104006.64510675157,0.0
3,2023-10-05,GBPUSD=X,SHORT,-0.006941639489897522,-216.59299046543507,103790.05211628614,104006.64510675157,-0.002082491846969292
4,2024-04-05,USDJPY=X,LONG,0.0008957199262844315,27.890045349197138,103817.94216163534,104006.64510675157,-0.0018143354679169832
4,2024-04-19,USDJPY=X,LONG,0.0043469170919698385,135.38639617066463,103953.328557806,104006.64510675157,-0.0005126263700828693
4,2024-04-24,GBPUSD=X,SHORT,-0.008471223679557573,-264.1835695343144,103689.14498827168,104006.64510675157,-0.003052690702156635
4,2024-04-29,USDJPY=X,LONG,0.0115623052720994,359.66566432721186,104048.8106525989,104048.8106525989,0.0
4,2024-05-02,USDJPY=X,LONG,0.00014695554797742894,4.587164995755725,104053.39781759465,104053.39781759465,0.0
4,2024-11-18,USDJPY=X,LONG,-0.01112413502205042,-347.2512140478148,103706.14660354683,104053.39781759465,-0.0033372405066152133
5,2025-08-01,USDJPY=X,LONG,-0.011680445914651831,-363.40021092590473,103342.74639262093,104053.39781759465,-0.006829680143838224
5,2025-08-04,USDJPY=X,LONG,-4.072130949928808e-05,-1.262475588108106,103341.48391703282,104053.39781759465,-0.0068418131026323215
5,2025-10-15,USDJPY=X,LONG,-0.008815737563663736,-273.3094204956414,103068.17449653718,104053.39781759465,-0.009468439683099739
5,2025-11-06,GBPUSD=X,SHORT,0.0030645164348791477,94.75623439728899,103162.93073093446,104053.39781759465,-0.008557789609342503
5,2025-11-21,USDJPY=X,LONG,-0.0030369801354605936,-93.99113140372354,103068.93959953074,104053.39781759465,-0.009461086698866472
6,2026-03-31,USDJPY=X,LONG,0.006405519399798633,198.0630276364403,103267.00262716718,104053.39781759465,-0.007557611831244815
6,2026-04-08,GBPUSD=X,SHORT,-0.006816438692071269,-211.17395769661434,103055.82866947056,104053.39781759465,-0.009587088639554375
