pair,side,signal_date,entry_date,exit_date,exit_time,entry_price,exit_price,tp_price,sl_price,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_rsi,signal_prev_high,signal_prev_low,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min
EURJPY=X,LONG,2019-03-22,2019-03-25,2019-04-02,1554163200,124.38300323486328,124.87899780273438,125.62683326721192,123.6367052154541,TIME,7,8,0.00398763942798956,8.039683670539564e-05,0.003907242591284164,True,126.01000213623047,125.94040008544921,37.06213316527589,127.30999755859375,124.73999786376953,0.01,0.01,0.006,7,40,60
GBPJPY=X,SHORT,2019-04-18,2019-04-19,2019-04-25,1556150400,145.46800231933594,144.01332229614258,144.01332229614258,146.34081033325197,TP,5,6,0.010000000000000016,0.00012373855221085552,0.00987626144778916,True,146.02000427246094,146.06968017578126,62.91808225797703,146.76300048828125,144.42100524902344,0.01,0.01,0.006,7,40,60
AUDUSD=X,SHORT,2019-09-20,2019-09-23,2019-10-01,1569888000,0.6768785119056702,0.6701097267866135,0.6701097267866135,0.6809397829771042,TP,7,8,0.009999999999999927,0.00014773699894603246,0.009852263001053895,True,0.6792786121368408,0.6796705794334411,60.51168670734453,0.6879944801330566,0.6708078384399414,0.01,0.01,0.006,7,40,60
GBPUSD=X,LONG,2019-11-08,2019-11-11,2019-11-18,1574035200,1.2796560525894165,1.2924526131153107,1.2924526131153107,1.27197811627388,TP,6,7,0.010000000000000007,9.377519823172559e-05,0.009906224801768282,True,1.2779992818832397,1.2737450981140137,39.172924905428665,1.297168254852295,1.2433171272277832,0.01,0.01,0.006,7,40,60
GBPJPY=X,LONG,2020-01-02,2020-01-03,2020-01-03,1578009600,142.6490020751953,141.79310806274415,144.07549209594725,141.79310806274415,SL,1,0,-0.0059999999999999125,0.00012618384803359206,-0.006126183848033505,False,144.04800415039062,142.9902667236328,33.825902335456476,147.41900634765625,141.39999389648438,0.01,0.01,0.006,7,40,60
GBPUSD=X,LONG,2020-01-02,2020-01-03,2020-01-03,1578009600,1.314388632774353,1.3065023009777068,1.3275325191020966,1.3065023009777068,SL,1,0,-0.006000000000000076,9.129719856653762e-05,-0.0060912971985666135,False,1.3250298500061035,1.3102301120758058,37.22171364808355,1.347527265548706,1.2934937477111816,0.01,0.01,0.006,7,40,60
GBPUSD=X,LONG,2020-01-03,2020-01-06,2020-01-07,1578355200,1.3081300258636475,1.321211326122284,1.321211326122284,1.3002812457084656,TP,2,1,0.010000000000000033,9.173400015856541e-05,0.009908265999841468,True,1.3152703046798706,1.3111893653869628,38.28298120970448,1.347527265548706,1.2934937477111816,0.01,0.01,0.006,7,40,60
EURUSD=X,LONG,2020-03-27,2020-03-30,2020-03-30,1585526400,1.1135361194610596,1.106854902744293,1.1246714806556701,1.106854902744293,SL,1,0,-0.006000000000000101,3.5921600836225774e-05,-0.0060359216008363265,False,1.1048258543014526,1.1035668659210205,35.43074519757336,1.1397960186004639,1.0657345056533813,0.01,0.01,0.006,7,40,60
EURUSD=X,LONG,2020-03-30,2020-03-31,2020-03-31,1585612800,1.1028398275375366,1.0962227885723115,1.113868225812912,1.0962227885723115,SL,1,0,-0.005999999999999929,3.6269999506014895e-05,-0.006036269999505944,False,1.113908290863037,1.104766993522644,39.54490219980627,1.1397960186004639,1.0657345056533813,0.01,0.01,0.006,7,40,60
USDJPY=X,SHORT,2020-03-30,2020-03-31,2020-03-31,1585612800,108.05599975585938,108.70433575439453,106.97543975830078,108.70433575439453,SL,1,0,-0.006000000000000032,5.55267640256565e-05,-0.0060555267640256885,False,107.41300201416016,107.96984130859374,64.0088624398448,111.29100036621094,103.11199951171875,0.01,0.01,0.006,7,40,60
