run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown,score
1693,0.01,0.004,0.006,5,40,50,298,43,255,0.530201,-0.00078207,0.00385112,-0.23305621,0.724984,0.003967,-0.00616248,93215.42,-0.06784585,-0.07156396,-0.13291769
1068,0.005,0.01,0.008,5,45,60,215,174,41,0.44186,-0.00104377,-0.00370617,-0.22441158,0.742191,0.00996572,-0.00816038,93436.77,-0.0656323,-0.07123213,-0.13305575
1350,0.007,0.006,0.008,7,50,60,435,395,40,0.535632,-0.00051962,0.00584534,-0.22603443,0.855615,0.00596762,-0.00816038,93357.95,-0.06642055,-0.07687915,-0.13312006
448,0.003,0.01,0.004,7,50,50,1027,537,490,0.29406,-0.00017679,-0.00405639,-0.18156086,0.938153,0.00996631,-0.00416675,94534.72,-0.05465279,-0.09591444,-0.13315221
1170,0.007,0.004,0.006,7,50,60,484,441,43,0.568182,-0.0004197,0.00385205,-0.20313578,0.840401,0.00396792,-0.00616675,94037.38,-0.0596262,-0.08672347,-0.133202
1790,0.01,0.006,0.004,5,50,55,389,281,108,0.349614,-0.00061558,-0.00405702,-0.23946052,0.768682,0.00596792,-0.00416248,93030.77,-0.06969231,-0.07170581,-0.13321276
1157,0.007,0.004,0.006,5,45,55,330,171,159,0.536364,-0.00072669,0.00384549,-0.23980865,0.737912,0.0039675,-0.00616281,93024.22,-0.06975783,-0.07024476,-0.13322057
1249,0.007,0.006,0.004,5,50,50,835,441,394,0.385629,-0.00028279,-0.00404172,-0.23613188,0.886903,0.00596792,-0.00416675,93079.91,-0.06920085,-0.07652304,-0.13324722
1539,0.007,0.01,0.006,2,50,60,462,420,42,0.422078,-0.00047683,-0.00126756,-0.22029343,0.822908,0.00996616,-0.00616675,93542.4,-0.06457596,-0.08000642,-0.13334935
1049,0.005,0.01,0.008,3,45,55,353,184,169,0.453258,-0.00065527,-0.00061627,-0.23131102,0.793819,0.00996576,-0.00816281,93230.91,-0.06769092,-0.07394208,-0.1333973
1754,0.01,0.004,0.008,7,50,55,368,268,100,0.616848,-0.00062387,0.0038711,-0.22958309,0.793962,0.00396792,-0.00816248,93292.19,-0.06707813,-0.07579656,-0.13395405
401,0.003,0.008,0.008,7,45,55,358,187,171,0.460894,-0.0006598,-0.00313966,-0.23620729,0.83635,0.0079675,-0.00816281,93071.98,-0.06928018,-0.07262997,-0.13398213
122,0.003,0.004,0.008,5,45,55,399,208,191,0.609023,-0.00060414,0.00386504,-0.24105195,0.792828,0.00396765,-0.00816281,92970.34,-0.07029664,-0.07207432,-0.1339975
1268,0.007,0.006,0.006,2,50,55,603,442,161,0.45937,-0.00038756,-0.00070013,-0.23369994,0.847308,0.00596792,-0.00616675,93162.9,-0.06837097,-0.07723657,-0.13403584
1733,0.01,0.004,0.008,4,45,55,210,107,103,0.557143,-0.00111771,0.00385151,-0.23471863,0.653681,0.00396564,-0.00816248,93171.21,-0.0682879,-0.0682879,-0.1340953
648,0.005,0.004,0.008,3,50,60,582,539,43,0.604811,-0.00028384,0.00385546,-0.16519746,0.889187,0.00396792,-0.00816038,95094.34,-0.0490566,-0.10276702,-0.13410867
212,0.003,0.006,0.006,5,45,55,396,205,191,0.459596,-0.00060293,-0.00603292,-0.23875909,0.807095,0.0059675,-0.00616281,93032.28,-0.06967723,-0.0730883,-0.13417714
2075,0.01,0.01,0.006,2,45,55,216,108,108,0.351852,-0.00109008,-0.0028735,-0.23545726,0.6481,0.00996345,-0.00616248,93149.09,-0.06850912,-0.06850912,-0.13421722
1799,0.01,0.006,0.004,7,50,55,389,281,108,0.347044,-0.00062068,-0.00405755,-0.24144636,0.767679,0.00596792,-0.00416248,92975.2,-0.07024798,-0.07226027,-0.13426304
1089,0.007,0.004,0.004,2,50,60,515,471,44,0.454369,-0.00044229,-0.00403238,-0.22778152,0.789667,0.00396792,-0.00416675,93362.62,-0.06637376,-0.07941631,-0.13432975
2144,0.01,0.01,0.008,5,40,55,134,39,95,0.358209,-0.00167229,-0.0080332,-0.22408634,0.626191,0.00996463,-0.00816248,93463.92,-0.06536078,-0.06536078,-0.13437227
1925,0.01,0.008,0.004,5,50,55,373,267,106,0.294906,-0.00065011,-0.00406214,-0.24249066,0.773798,0.00796564,-0.00416248,92937.97,-0.07062026,-0.0716816,-0.13446663
108,0.003,0.004,0.008,3,50,60,648,604,44,0.606481,-0.00025417,0.00385202,-0.16469995,0.89826,0.00396792,-0.00816038,95102.74,-0.04897261,-0.10372632,-0.13449534
1044,0.005,0.01,0.008,2,50,60,567,523,44,0.470899,-0.00034681,-0.00040528,-0.19664294,0.86798,0.00996762,-0.00816038,94187.35,-0.05812652,-0.09129927,-0.13463406
1153,0.007,0.004,0.006,5,40,50,452,49,403,0.553097,-0.00054402,0.00385145,-0.24589485,0.797522,0.00396749,-0.00616281,92842.06,-0.07157935,-0.07207641,-0.13468063
1040,0.005,0.01,0.008,2,45,55,374,192,182,0.435829,-0.00061977,-0.00065375,-0.23179499,0.761575,0.00996576,-0.00816281,93232.57,-0.06767429,-0.07601938,-0.13468751
1161,0.007,0.004,0.006,5,50,60,484,441,43,0.56405,-0.00043371,0.00385123,-0.20991514,0.834156,0.00396792,-0.00616675,93846.83,-0.06153168,-0.08620414,-0.13483208
350,0.003,0.008,0.006,5,50,55,718,538,180,0.428969,-0.00026673,-0.00603444,-0.19151163,0.919103,0.0079675,-0.00616675,94285.1,-0.05714898,-0.09391937,-0.13495177
1823,0.01,0.006,0.006,4,45,55,214,108,106,0.415888,-0.00110575,-0.00603735,-0.23662959,0.676638,0.00596564,-0.00616248,93116.65,-0.06883346,-0.06883346,-0.13495769
781,0.005,0.006,0.008,3,50,50,950,492,458,0.531579,-0.00019561,0.00102443,-0.18582889,0.932593,0.00596762,-0.00816281,94427.35,-0.05572648,-0.09662313,-0.13498108
1816,0.01,0.006,0.006,3,50,50,513,269,244,0.465887,-0.00045761,-0.00168028,-0.23475355,0.845802,0.00596792,-0.00616248,93130.47,-0.0686953,-0.07719104,-0.13502422
676,0.005,0.006,0.004,2,40,50,588,54,534,0.39966,-0.00041806,-0.00403387,-0.24582111,0.808824,0.00596612,-0.00416281,92845.61,-0.07154387,-0.07423086,-0.13510919
91,0.003,0.004,0.008,2,40,50,638,53,585,0.564263,-0.0003805,0.00161688,-0.24275763,0.83722,0.00396765,-0.00816281,92912.63,-0.07087367,-0.07555958,-0.13512631
743,0.005,0.006,0.006,4,45,55,375,195,180,0.448,-0.000643,-0.00348311,-0.24112677,0.792111,0.0059675,-0.00616281,92970.41,-0.07029586,-0.07304665,-0.13516322
515,0.003,0.01,0.008,4,40,55,224,49,175,0.428571,-0.00103434,-0.00252033,-0.23169237,0.728064,0.00996576,-0.00816281,93235.68,-0.0676432,-0.07151689,-0.13520012
1924,0.01,0.008,0.004,5,50,50,508,266,242,0.309055,-0.00048598,-0.00405728,-0.24687755,0.826829,0.00796584,-0.00416248,92798.48,-0.07201521,-0.07299726,-0.1352728
519,0.003,0.01,0.008,4,45,60,228,186,42,0.438596,-0.00102987,-0.00249874,-0.23480966,0.7248,0.00996572,-0.00816038,93148.88,-0.06851117,-0.07069618,-0.13536678
1822,0.01,0.006,0.006,4,45,50,355,107,248,0.450704,-0.00068329,-0.00603375,-0.24256702,0.785942,0.0059668,-0.00616248,92931.27,-0.07068733,-0.0723475,-0.1353982
1178,0.007,0.004,0.008,2,50,55,609,450,159,0.550082,-0.00039472,0.00199431,-0.24038269,0.833082,0.00396792,-0.00816281,92981.04,-0.07018956,-0.07678611,-0.13556562
1711,0.01,0.004,0.008,2,40,50,300,42,258,0.546667,-0.00077911,0.00183249,-0.23373266,0.715826,0.0039668,-0.00816248,93193.36,-0.06806636,-0.07471156,-0.1356267
784,0.005,0.006,0.008,4,40,50,506,52,454,0.517787,-0.00046589,0.00062338,-0.23574133,0.855365,0.0059668,-0.00816281,93086.05,-0.06913946,-0.07729813,-0.13563688
1467,0.007,0.008,0.008,4,50,60,419,379,40,0.477327,-0.00053655,-0.00140314,-0.22481647,0.854985,0.00796762,-0.00816038,93385.39,-0.06614612,-0.08027064,-0.13572818
1804,0.01,0.006,0.006,2,45,50,372,113,259,0.44086,-0.00061005,-0.00109068,-0.22693702,0.777857,0.00596612,-0.00616248,93375.0,-0.06625003,-0.07929273,-0.13578467
1997,0.01,0.008,0.008,3,50,55,347,248,99,0.469741,-0.00069531,-0.00090398,-0.24127201,0.801699,0.00796762,-0.00816248,92948.75,-0.07051246,-0.07297877,-0.13584856
1933,0.01,0.008,0.004,7,50,50,506,265,241,0.302372,-0.00048454,-0.00406124,-0.2451775,0.830205,0.00796584,-0.00416248,92844.5,-0.07155496,-0.07439674,-0.13591776
