wf_id,date,pair,side,net_return,pnl,equity,peak,drawdown
2,2022-05-24,EURUSD=X,SHORT,-0.0060374460000678625,-183.52316233840713,101141.4202747509,101694.08374623682,-0.0054345685720028625
2,2022-05-27,GBPUSD=X,SHORT,-0.006095482800284267,-184.95173630431995,100956.46853844657,101694.08374623682,-0.007253275516310942
2,2022-07-07,GBPUSD=X,SHORT,-0.0061004220020135225,-184.76311857525764,100771.70541987132,101694.08374623682,-0.009070127704451036
2,2022-07-29,EURUSD=X,SHORT,-0.00603924520216211,-182.5755115411954,100589.12990833013,101694.08374623682,-0.010865468247532983
2,2022-07-29,GBPUSD=X,SHORT,-0.006098630395332618,-184.03677752970103,100405.09313080042,101694.08374623682,-0.012675178023658584
2,2022-08-01,EURUSD=X,SHORT,-0.006039184001399433,-181.909449628365,100223.18368117206,101694.08374623682,-0.014463968904377844
2,2022-08-03,EURUSD=X,SHORT,0.009961018800281139,299.4975050616554,100522.6811862337,101694.08374623682,-0.011518886024148522
2,2022-08-04,EURUSD=X,SHORT,-0.006039379202851994,-182.12837705131835,100340.55280918238,101694.08374623682,-0.013309829708795906
2,2022-08-05,EURUSD=X,SHORT,0.009960967201541295,299.84668665503636,100640.39949583741,101694.08374623682,-0.010361313181489806
2,2022-08-10,EURUSD=X,SHORT,-0.006039224800546895,-182.33699897166255,100458.06249686575,101694.08374623682,-0.012154308331794317
2,2022-08-18,GBPUSD=X,SHORT,0.009900799602344138,298.3845435663693,100756.44704043212,101694.08374623682,-0.009220169662420563
2,2022-08-19,EURUSD=X,SHORT,0.009960671199449786,301.0805520583559,101057.52759249047,101694.08374623682,-0.006259520026108745
2,2022-09-20,EURUSD=X,SHORT,-0.00604006400080227,-183.11818032644513,100874.40941216402,101694.08374623682,-0.008060196855877888
2,2022-10-04,EURJPY=X,LONG,0.009929618599522225,300.4933235744531,101174.90273573848,101694.08374623682,-0.005105321680205943
2,2022-10-17,EURUSD=X,SHORT,-0.006041070399258692,-183.36141301942408,100991.54132271906,101694.08374623682,-0.006908390317679203
2,2022-10-21,EURUSD=X,SHORT,0.00995937600093762,301.74381988415644,101293.28514260321,101694.08374623682,-0.003941218494418419
2,2022-11-04,EURUSD=X,SHORT,-0.00604102719756145,-183.57464714304393,101109.71049546017,101694.08374623682,-0.005746383951252043
2,2022-11-07,EURUSD=X,SHORT,-0.00604028679932138,-183.21949487668033,100926.49100058348,101694.08374623682,-0.00754805704891115
3,2023-05-24,EURJPY=X,LONG,-0.006066706689051527,-183.68742541672157,100742.80357516676,101694.08374623682,-0.009354331501170154
3,2023-07-21,EURJPY=X,LONG,0.009935939730797524,300.2923273903291,101043.09590255709,101694.08374623682,-0.006401432804136187
4,2024-09-26,USDJPY=X,LONG,0.009958228324123077,301.8630658721785,101344.95896842927,101694.08374623682,-0.0034330883857387473
5,2025-06-06,EURJPY=X,LONG,0.009938702157359404,302.17120870110847,101647.13017713038,101694.08374623682,-0.00046171387141458187
5,2025-07-14,GBPUSD=X,SHORT,0.00991174599389386,302.2501605971939,101949.38033772758,101949.38033772758,0.0
5,2025-09-02,GBPUSD=X,SHORT,0.00991117564093337,303.1314645034611,102252.51180223103,102252.51180223103,0.0
5,2025-12-03,GBPUSD=X,SHORT,-0.006090600000594052,-186.8337445330235,102065.67805769801,102252.51180223103,-0.0018271800001782301
5,2025-12-16,USDJPY=X,LONG,-0.006038590915742254,-184.8998628984866,101880.77819479952,102252.51180223103,-0.0036354471971357105
