date,pair,side,net_return,pnl,equity,peak,drawdown
2021-01-22,EURUSD=X,SHORT,-0.0004064436205549962,-12.49093326214582,102428.39410338434,103295.06526157743,-0.00839024745275474
2021-02-19,EURUSD=X,SHORT,0.0022403370117102875,68.84223670795791,102497.2363400923,103295.06526157743,-0.007723785443813358
2021-03-05,EURUSD=X,SHORT,0.009966802399053214,306.4709103152269,102803.70725040753,103295.06526157743,-0.004756839157084802
2021-03-19,GBPUSD=X,SHORT,0.0003622466036014613,11.172088136729714,102814.87933854427,103295.06526157743,-0.004648682120652836
2021-04-19,GBPUSD=X,SHORT,-0.006087192001049791,-187.75617332954585,102627.12316521473,103295.06526157743,-0.006466350494781614
2021-05-07,GBPUSD=X,SHORT,-0.006086306399119373,-187.3860349330975,102439.73713028163,103295.06526157743,-0.00828043555739888
2021-08-06,EURUSD=X,SHORT,0.000901250081758423,27.6971464391933,102467.43427672083,103295.06526157743,-0.008012299355838248
2021-08-19,GBPUSD=X,SHORT,0.009913459595998667,304.74203088237624,102772.17630760321,103295.06526157743,-0.005062090358819105
2021-09-02,EURUSD=X,SHORT,-0.006033898399055183,-186.0350610269592,102586.14124657626,103295.06526157743,-0.0068630966368620205
2021-09-09,GBPUSD=X,SHORT,-0.0060871679987364955,-187.3377228330063,102398.80352374325,103295.06526157743,-0.008676713989816953
2021-09-09,USDJPY=X,LONG,0.0013629214824353118,41.86845872945471,102440.6719824727,103295.06526157743,-0.008271385249054464
2021-09-20,GBPUSD=X,SHORT,0.009913288004986528,304.6571654359818,102745.32914790869,103295.06526157743,-0.005321997834810688
2021-10-29,EURUSD=X,SHORT,-0.002709889822448983,-83.52855652862658,102661.80059138006,103295.06526157743,-0.0061306381732151305
2021-11-04,GBPUSD=X,SHORT,0.00991187799818161,305.2713727606223,102967.07196414068,103295.06526157743,-0.0031753046150478914
2021-11-11,EURUSD=X,SHORT,0.009965460000191448,307.83427109864346,103274.90623523932,103295.06526157743,-0.00019515962632932204
